X (Grid)	Y (Grid)	X (m)	Y (m)	Data
61	87	246	50	3.412297
62	87	250	50	5.074403
63	87	254	50	5.53593
64	87	258	50	7.934297
65	87	262	50	10.674454
66	87	266	50	27.847368
67	87	270	50	-999
68	87	274	50	-999
69	87	278	50	76.039116
70	87	282	50	-999
71	87	286	50	38.728889
72	87	290	50	15.843003
73	87	294	50	9.13863
74	87	298	50	5.095946
75	87	302	50	4.451138
76	87	306	50	4.584596
77	87	310	50	2.828336
78	87	314	50	1.45883
79	87	318	50	0.968607
80	87	322	50	1.308343
81	87	326	50	2.332223
82	87	330	50	5.646792
83	87	334	50	12.489264
84	87	338	50	7.484319
85	87	342	50	4.075404
86	87	346	50	2.488153
87	87	350	50	1.430001
88	87	354	50	0
89	87	358	50	0
90	87	362	50	0
91	87	366	50	0
92	87	370	50	0
93	87	374	50	0
94	87	378	50	0
95	87	382	50	0
96	87	386	50	0
97	87	390	50	0
98	87	394	50	0
99	87	398	50	0
0	86	2	54	0
1	86	6	54	0
2	86	10	54	0
3	86	14	54	0
4	86	18	54	0
5	86	22	54	0
6	86	26	54	0
7	86	30	54	0
8	86	34	54	0
9	86	38	54	0
10	86	42	54	0
11	86	46	54	0
12	86	50	54	0
13	86	54	54	0
